CODGEO,Taux_chomage,taux_sans_diplome,taux_maison_princ,taux_loc_princ,taux_inactifs,salaire_ouvrier,salaire_employe,TP6020
59409,16.64,21.12,97.68,30.38,20.19,12.5823789973552,10.8107221550932,16.0
59410,19.69,21.09,44.07,49.93,19.4,10.9052642118113,11.1299275691761,24.0
59414,17.76,28.6,90.93,38.89,21.12,12.4823914468874,10.8983928573557,19.0
59421,11.34,14.46,72.33,27.28,14.18,11.6492791482581,12.7551487812286,8.0
59426,8.77,16.72,88.03,17.66,14.35,11.665731416954,11.7287762609598,6.0
59428,19.69,25.26,86.57,34.77,15.89,11.6814279042053,11.386129978719,17.0
59429,16.37,25.02,96.02,23.85,17.52,13.0136731324038,11.2035293742064,17.0
59431,11.87,21.92,79.76,32.51,17.05,11.9247268304635,11.5920398306935,12.0
59447,21.24,24.82,89.89,44.74,19.37,11.9191047118977,11.4162041015069,23.0
59449,13.0,20.29,67.35,42.09,15.93,11.6463564047462,11.2870332792912,12.0
59452,20.01,28.87,94.31,40.35,18.64,11.5381579515868,11.0754281258271,21.0
59456,24.76,29.25,92.84,56.51,19.57,12.0665180798671,10.8600955404607,24.0
59457,11.33,23.48,77.12,28.37,13.74,11.5219387860541,11.4690303901829,9.0
59459,13.74,18.03,88.72,29.16,18.99,12.300527412348,11.408892625221,15.0
59462,10.35,15.08,81.72,21.95,15.49,11.526830408228,12.2189084417287,5.0
59464,18.02,31.9,96.29,31.61,17.33,12.155074365474,10.7332885855817,21.0
59467,13.13,15.07,90.48,30.4,16.43,12.3802796353133,11.119145246776,17.0
59475,17.93,18.61,95.67,34.84,17.36,12.5507484155651,11.2610474299498,14.0
59476,15.05,18.19,95.44,26.37,17.08,11.3887230268315,11.4120031136231,10.0
59477,11.51,18.89,89.53,26.54,14.17,11.5868396900267,11.4542402702515,12.0
59479,12.38,18.46,94.07,20.49,17.27,12.6672366903597,11.8412570138217,13.0
59481,21.2,28.43,64.91,47.84,17.1,11.6704212202435,10.8699002561961,20.0
59482,9.68,21.12,89.44,24.1,14.97,11.5600529515934,11.8270151325587,9.0
59484,29.84,29.5,80.12,52.33,22.41,12.0449208011279,12.0542734982107,32.0
59486,12.14,19.52,93.16,22.33,14.06,12.3407167092399,11.058932249986,12.0
59488,16.14,22.55,92.48,22.12,17.21,11.7747043764706,11.2032281854082,13.0
59489,13.04,21.05,96.46,19.6,16.01,12.4224951271246,11.4095148644111,10.0
