,REG,DEP,CODGEO,LIBGEO,AAV20,LIBAAV2,CATEAAV,LIBCATE,TAAV20,LIBTAAV,geometry,TP6020
24,32,59,59098,Bousbecque,004,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((704486.0350972933 7072421.015548799, 704057.0378549626 7073048.002965404, 704306.992050207 7074145.967306154, 704150.9836423799 7076021.0297370395, 705700.9791481904 7075147.945787511, 706374.030129534 7075319.045000035, 707072.9538350777 7073901.004323936, 706144.0438890593 7073164.981826589, 704486.0350972933 7072421.015548799))",6.0
25,32,59,59100,Bousignies,004,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((724983.9590983501 7035953.973508193, 724242.9428837659 7036483.044905292, 724456.0235407597 7037540.049685989, 725322.9808529431 7038130.049432783, 725813.0206441197 7037722.950767821, 726549.9522592517 7036945.966479028, 724983.9590983501 7035953.973508193))",
26,32,59,59105,Bouvignies,004,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((715683.9882200848 7035211.02921115, 715256.0110493172 7036532.967995115, 716008.0323911501 7037354.995304126, 715809.0213892937 7038402.016805704, 716171.9857115346 7039448.01632653, 717412.0045448184 7039256.946092966, 717956.0499006734 7038794.024519221, 718290.9892124129 7037804.981457867, 717903.9723359485 7037166.988781383, 718390.947599236 7036253.965021153, 716786.9443721477 7035398.013753153, 715683.9882200848 7035211.02921115))",
27,32,59,59106,Bouvines,004,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((714924.0241222929 7054492.98978709, 713747.995909372 7053654.055167866, 714104.0375472181 7053003.015501429, 713961.9844947559 7052660.020466936, 713668.0054773188 7052431.964794938, 713112.0449092265 7052922.004560732, 712870.0334699404 7053942.021671611, 713686.9555171253 7055045.99963265, 714039.0246986927 7055175.005734436, 714924.0241222929 7054492.98978709))",
28,32,59,59109,Brillon,004,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((724242.9428837659 7036483.044905292, 723273.9827284334 7036492.008435073, 722917.0331621967 7037755.9665474305, 723084.0488538718 7038086.026161916, 724805.0303510369 7038201.983042341, 725322.9808529431 7038130.049432783, 724456.0235407597 7037540.049685989, 724242.9428837659 7036483.044905292))",
29,32,59,59113,Bruille-lez-Marchiennes,004,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((717384.9996058806 7027053.045624173, 717322.0290570812 7027802.003541518, 716609.9457813881 7027953.020163045, 715810.9515458468 7029332.029207839, 716353.9768301381 7029793.022852838, 716883.0467590659 7029317.0542891435, 717226.9488983267 7029413.04237993, 717094.9930447228 7030100.958146241, 717591.0454353053 7030083.031086674, 718242.9940905418 7029715.983802364, 718310.9571671834 7027503.03400931, 717384.9996058806 7027053.045624173))",
30,32,59,59120,Caëstre,004,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((673153.0058393172 7071617.029100705, 672567.9980325603 7072041.032844481, 671455.056824812 7072147.006445798, 670880.0340737392 7072524.037009224, 670559.960202353 7072354.979526786, 669915.0463746864 7073093.954165018, 669866.0311812514 7073753.051413234, 669104.0247837334 7074316.046769334, 669979.9449234388 7074833.996873813, 671730.9937308322 7073980.995515288, 672559.0352050385 7074794.9674739055, 673318.9993028295 7074931.00694534, 674637.9884966024 7073254.048117674, 673698.9813517247 7072782.049212792, 673719.9715346583 7072061.001634135, 673153.0058393172 7071617.029100705))",
31,32,59,59123,Camphin-en-Carembault,004,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((700592.9481497628 7043934.049884308, 699589.9503845223 7044368.039138611, 697492.9592947406 7046164.018557541, 698322.0208405106 7047533.044323204, 700027.0046825852 7047313.041770205, 700704.0281202076 7046412.04525059, 700703.0058920442 7045275.957457931, 700958.9748432944 7044996.956715358, 700592.9481497628 7043934.049884308))",
32,32,59,59124,Camphin-en-Pévèle,004,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((718233.0090348558 7053713.055588814, 716518.9502220857 7054274.009214822, 716459.9499729655 7054349.006535212, 716914.021997682 7055211.993404265, 716625.0355080881 7055359.946314958, 718099.0130381247 7056445.9994478375, 719213.9965455993 7056528.032369279, 719738.9818750735 7055269.971844481, 719592.0505945422 7053874.965900257, 718508.040169086 7053953.026931468, 718233.0090348558 7053713.055588814))",
33,32,59,59128,Capinghem,004,Lille (partie française),12,Autre commune du pôle principal,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((697901.986425702 7060283.035069265, 696944.0313976179 7060611.050722266, 696639.0472529324 7061250.973558881, 697824.9462217648 7062277.004290063, 698184.9581592903 7060927.949545439, 697901.986425702 7060283.035069265))",
