REG,DEP,CODGEO,LIBGEO,AAV20,LIBAAV2,CATEAAV,LIBCATE,TAAV20,LIBTAAV,geometry,Taux_chomage,taux_sans_diplome,taux_maison_princ,taux_loc_princ,taux_inactifs,salaire_ouvrier,salaire_employe,TP6020
32,59,59043,Bailleul,4,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((2.7215956165058803 50.69004423240828, 2.6781135648768606 50.694677724784164, 2.676799742231399 50.69881104361394, 2.6724710126861497 50.70843739219516, 2.6770530105086587 50.71449700939991, 2.687602818202799 50.715825124336924, 2.69544658320104 50.72051974260068, 2.70611144565595 50.73616706013438, 2.70219988115754 50.7494466756244, 2.7069857740980487 50.75098309685976, 2.731402092399391 50.75819917073803, 2.7424958597413385 50.76567875511769, 2.7448968370318987 50.77207184883824, 2.75430833712108 50.77460325892264, 2.7609566040245794 50.76925932830516, 2.75950238550481 50.76252732874341, 2.782032364034089 50.74769201385161, 2.791224403411749 50.72752744199224, 2.8132756195447097 50.716947760284995, 2.795445116226439 50.71167032660695, 2.7636341964014592 50.71147039029583, 2.7207385292779995 50.69688020177184, 2.7215956165058803 50.69004423240828))",11.9,22.1,74.23,38.7,16.6,11.9394721296184,11.2461420395167,10.0
32,59,59044,Baisieux,4,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((3.2344090844877087 50.59509807860992, 3.22704984484056 50.59221370094912, 3.2217433347413995 50.59757241026888, 3.21840006456463 50.60025236920037, 3.2247140893536903 50.605760182772315, 3.2237983728678894 50.61248447845429, 3.21371934647244 50.62036321576074, 3.20376947463603 50.62296529373573, 3.230228453365609 50.621204305848735, 3.2587040722049596 50.62817516584428, 3.2561318116826694 50.62195287923954, 3.26946604016977 50.6119711321566, 3.2709690756871983 50.60550690240684, 3.2552411800400303 50.60480403227933, 3.2344090844877087 50.59509807860992))",7.2,16.0,91.81,21.8,15.2,12.2618520459724,12.190882882243,5.0
32,59,59051,La Bassée,4,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((2.8037719493513595 50.526907828227344, 2.79938627329122 50.52857096587312, 2.801237136379649 50.537683404758575, 2.7944722552331296 50.549206425068, 2.8037907231420194 50.55118696485288, 2.8131658518673097 50.549307295196186, 2.821566383677639 50.54397021667552, 2.824657373441459 50.537961141285066, 2.8123386748440407 50.52896807693253, 2.8037719493513595 50.526907828227344))",16.5,25.0,63.81,42.0,16.5,11.4308777935829,11.0753085446863,16.0
32,59,59052,Bauvin,4,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((2.90483164715593 50.50345662640178, 2.9016410955822405 50.501011954658914, 2.8919697667262287 50.502305440281496, 2.88705988721656 50.507831109540646, 2.8820774128566797 50.50775414048605, 2.8870449969173095 50.532980522841, 2.8979155418096787 50.53342989491911, 2.8956397292475202 50.531372890158096, 2.905799732326799 50.512639452566724, 2.90199641917405 50.50632638454568, 2.90483164715593 50.50345662640178))",12.4,21.5,94.68,25.1,17.5,11.7447195977292,11.8064815348413,11.0
32,59,59056,Beaucamps-Ligny,4,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((2.920739858178209 50.58954188346264, 2.911640403349499 50.60099659596087, 2.8977432981163194 50.60483603760784, 2.89289378122186 50.610674799297115, 2.8913162189451795 50.61571688451456, 2.9202302054064093 50.617372132155964, 2.922981255286669 50.617499110321155, 2.9265354590260992 50.60797947785264, 2.933298274235879 50.60282267372737, 2.9384157949052994 50.603615508300756, 2.93640444304115 50.59989878723058, 2.929200490521529 50.59838679245679, 2.931417591560639 50.59628834555819, 2.920739858178209 50.58954188346264))",,,,,,,,
32,59,59071,Bersée,4,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((3.1670265108260605 50.45938715022887, 3.1325662104072993 50.46677217486931, 3.1259081107881985 50.47603398974946, 3.133004058556761 50.48878173458298, 3.1326062480811587 50.49836873498162, 3.14211843783776 50.503115286728104, 3.1655796510343794 50.49443350224524, 3.17395096293367 50.48576827986011, 3.16882546275719 50.47583928359906, 3.1751100009338002 50.47110890730688, 3.1670265108260605 50.45938715022887))",,,,,,,,
32,59,59073,Berthen,4,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((2.6973917301395005 50.7657208344394, 2.682971194221109 50.76202407218353, 2.6780290970999494 50.77824291325351, 2.66427547965116 50.78202823697717, 2.6722658026869586 50.789380205747314, 2.681788160479769 50.79234792377781, 2.7058708280976695 50.77962094938048, 2.706586839651989 50.77087475587423, 2.6980400535763303 50.76868286015969, 2.6973917301395005 50.7657208344394))",,,,,,,,
32,59,59080,Beuvry-la-Forêt,4,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((3.3067198691851196 50.434461384848234, 3.2974592086394496 50.43711386813911, 3.257092584122879 50.43748244713422, 3.2524292524683185 50.44637049812687, 3.2448011942672705 50.45054134891452, 3.24861319902051 50.45658467522019, 3.2631512601857486 50.45920269542445, 3.2697741075497695 50.46427784111244, 3.2894648844961885 50.46716859618861, 3.3103969973054395 50.456445057573085, 3.320220323504671 50.44472344336224, 3.3103124984469288 50.44505325196857, 3.3115029714369397 50.435337603467914, 3.3067198691851196 50.434461384848234))",,,,,,,,
32,59,59086,Boeschepe,4,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((2.73855582917691 50.780591747361875, 2.733864139245131 50.779342877470675, 2.7200578955302586 50.78319835950649, 2.7058708280976695 50.77962094938048, 2.681788160479769 50.79234792377781, 2.6722658026869586 50.789380205747314, 2.6665641595446394 50.81450520777367, 2.6623181833131584 50.816287417260746, 2.6701749724225894 50.821036864134626, 2.6821457876172685 50.813925962448174, 2.7198257444923097 50.81205168809807, 2.72356421603198 50.80950290696519, 2.725013598994329 50.79572572412839, 2.73855582917691 50.780591747361875))",,,,,,,,
32,59,59088,Bois-Grenier,4,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((2.869723271013449 50.63109609007668, 2.8455017864222296 50.652273817941534, 2.8662426881532097 50.66121832810948, 2.8762211920203793 50.662377188671464, 2.8953220354975695 50.65645460501422, 2.8958722311977794 50.649894783792256, 2.891862124953649 50.643887961599404, 2.8752773471656505 50.633488542289975, 2.869723271013449 50.63109609007668))",,,,,,,,
